secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,91,0.00021,0.756,0,0,34.4,-5.48301081,36.17938944,0,0,-255,0,-255,0,0,0,0,0,0,0,0
2,0,91,0.00083,2.232,0,0,34.4,-5.48301701,36.17938693,0,0,-255,0,-255,0,0,0,0,0,0,0,0
3,0,92,0.00294,4.4208,0,0,34.4,-5.48304040,36.17938919,0,0,-255,0,-255,0,0,0,0,0,0,0,0
4,0,92,0.00514,6.5268,0,0,34,-5.48306328,36.17938148,0,-18.1819,-255,0,-255,0,0,0,0,0,0,0,0
5,0,92,0.00795,9.0792,0,0,33.4,-5.48309438,36.17937863,0,-18.1819,-255,0,-255,0,0,0,0,0,0,0,0
6,0,92,0.0116,11.5164,0,0,33.6,-5.48312975,36.17939489,0,5.47937,-255,0,-255,0,0,0,0,0,0,0,0
7,0,92,0.0156,13.3596,0,0,33.8,-5.48316638,36.17941551,0,5.00002,-255,0,-255,0,0,0,0,0,0,0,0
8,0,89,0.01973,14.6628,0,0,33.6,-5.48320401,36.17943688,0,-4.84263,-255,0,-255,0,0,0,0,0,0,0,0
9,0,85,0.02486,16.9524,0,0,33.6,-5.48325280,36.17946086,0,0,-255,0,-255,0,0,0,0,0,0,0,0
10,0,85,0.03041,18.9324,0,0,33.4,-5.48330653,36.17948541,0,-3.43306,-255,0,-255,0,0,0,0,0,0,0,0
11,0,85,0.03645,20.6856,0,0,32.8,-5.48336646,36.17950997,0,-4.42644,-255,0,-255,0,0,0,0,0,0,0,0
12,0,85,0.04385,24.03,0,0,32.8,-5.48344231,36.17953587,0,-4.42644,-255,0,-255,0,0,0,0,0,0,0,0
13,65,85,0.05129,25.4988,0,184,32.4,-5.48351691,36.17956479,0,-4.96407,-255,0,-255,0,0,0,0,0,0,0,0
14,72,85,0.05927,27.558,0,194,32.2,-5.48359520,36.17959865,0,-3.39651,-255,0,-255,0,0,0,0,0,0,0,0
15,77,85,0.06752,29.0376,0,181,31.4,-5.48367525,36.17963503,0,-2.54802,-255,0,-255,0,0,0,0,0,0,0,0
16,81,85,0.07635,30.744,0,183,31.2,-5.48375797,36.17967778,0,-3.32245,-255,0,-255,0,0,0,0,0,0,0,0
17,86,85,0.08553,32.382,0,167,30.8,-5.48384515,36.17972086,0,-4.25819,-255,0,-255,0,0,0,0,0,0,0,0
18,89,86,0.09509,33.9084,0,167,30.4,-5.48393358,36.17976856,0,-4.19233,-255,0,-255,0,0,0,0,0,0,0,0
19,81,87,0.1053,35.9604,0,170,30.2,-5.48403039,36.17981667,0,-4.38822,-255,0,-255,0,0,0,0,0,0,0,0
20,79,88,0.11573,37.224,0,169,30,-5.48412845,36.17986688,0,-4.21962,-255,0,-255,0,0,0,0,0,0,0,0
21,77,88,0.1266,38.2572,0,179,29.6,-5.48423063,36.17991901,0,-3.59422,-255,0,-255,0,0,0,0,0,0,0,0
22,79,89,0.13767,39.168,0,166,29.2,-5.48433490,36.17997198,0,-3.95556,-255,0,-255,0,0,0,0,0,0,0,0
23,79,89,0.14909,40.2336,0,257,29.2,-5.48443800,36.18003217,0,-3.41793,-255,0,-255,0,0,0,0,0,0,0,0
24,76,89,0.16084,41.2056,0,257,29,-5.48454302,36.18009503,0,-3.33751,-255,0,-255,0,0,0,0,0,0,0,0
25,78,90,0.17319,43.2324,0,236,28.6,-5.48465081,36.18016401,0,-2.6917,-255,0,-255,0,0,0,0,0,0,0,0
26,75,90,0.18633,45.9432,0,197,26.4,-5.48476431,36.18023861,0,-4.13948,-255,0,-255,0,0,0,0,0,0,0,0
